 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
Category,Have/Exclude,Component / Item,Qty ,Est. USD,Est. Total,Notes,Sources,,,,,,Additional Notes
Filament,,,,,,,,,,,,,
Filament,TRUE,Sunlu Black ABS,2,,,Sponsored by Sunlu,,,,,,,
Filament,TRUE,Sunlu Red ABS,1,,,Sponsored by Sunlu,,,,,,,
,,,,,,,,,,,,,
Category,Have/Exclude,Component / Item,Qty ,Est. USD,Est. Total,Notes,Sources,,,,,,Additional Notes
Frame,,,,,,,,,,,,,
T-Slot,FALSE,4040 460mm,4,$12.65,$50.60,,https://us.misumi-ec.com/vona2/detail/110302684530/?ProductCode=HFS5-4040-460&seriesCode=110302684530&tab=drawingAndSpecifications&Page=1,,,,,,
T-Slot,FALSE,4040 290mm,4,$8.19,$32.76,,https://us.misumi-ec.com/vona2/detail/110302684530/?ProductCode=HFS5-4040-290&seriesCode=110302684530&tab=drawingAndSpecifications&Page=1,,,,,,
T-Slot,FALSE,2040 290mm,6,$5.75,$34.50,,https://us.misumi-ec.com/vona2/detail/110302684350/?ProductCode=HFS5-2040-290&seriesCode=110302684350&tab=drawingAndSpecifications&Page=1,,,,,,
T-Slot,FALSE,2020 160mm,1,$4.93,$4.93,,https://us.misumi-ec.com/vona2/detail/110302683830/?ProductCode=HFS5-2020-160&seriesCode=110302683830&tab=drawingAndSpecifications&Page=1,,,,,,
T-Slot,FALSE,2020 250mm,1,$4.93,$4.93,,https://us.misumi-ec.com/vona2/detail/110302683830/?ProductCode=HFS5-2020-250&seriesCode=110302683830&tab=drawingAndSpecifications&Page=1,,,,,,
T-Slot,TRUE,2020 460mm,2,,$0.00,,https://us.misumi-ec.com/vona2/detail/110302683830/?tab=drawingAndSpecifications&seriesCode=110302683830&CategorySpec=00000042737%3A%3Aa%0900000332694%3A%3A460&Page=1,,,,,,
T-Slot,TRUE,2020 290mm,2,,$0.00,,https://us.misumi-ec.com/vona2/detail/110302683830/?tab=drawingAndSpecifications&seriesCode=110302683830&CategorySpec=00000042737%3A%3Aa%0900000332694%3A%3A290&Page=1,,,,,,
T-Slot,FALSE,2010 330mm,2,$6.22,$12.44,https://www.aliexpress.us/item/3256805640390934.html,,,,,,,
Aluminum Panels,FALSE,Structural Panels,5,$43.02,$215.12,50% off from OSHCUT incl shipping,,https://app.oshcut.com/cart/O-096f8b5f-96be-4d21-93b8,,,,,
Panels,FALSE,Acrylic Panels,3,$51.46,$154.37,JLC,https://jlccnc.com/cnc-machining-quote,,,,,,
Insulation,FALSE,PIR Foam,1,$14.15,$14.15,,https://www.menards.com/main/building-materials/insulation/foam-board-insulation/johns-manville-4-x-8-foil-faced-polyiso-foam-board-insulation/90034729/p-1444438920507-c-5779.htm,,,,,,
